"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
4001,60,60,40,"Aarau AG","Die Gemeinde Aarau hat die ""Stopp-Impfpflicht""-Initiative mit 60 Prozent Ja-Stimmen angenommen. Aarau hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4002,43.2,43.2,56.8,"Biberstein AG","56,8 Prozent der Stimmbürgerinnen und Stimmbürger von Biberstein sagen Nein zur ""Stopp-Impfpflicht""-Initiative. Biberstein hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4003,25.2,25.2,74.8,"Buchs AG","Nein zur ""Stopp-Impfpflicht""-Initiative in Buchs AG mit 74,8 Prozent Ablehnung. Buchs AG hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4004,50.5,50.5,49.5,"Densbüren AG","Die Gemeinde Densbüren hat die ""Stopp-Impfpflicht""-Initiative mit 50,5 Prozent Ja-Stimmen angenommen. Densbüren hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4005,99.8,99.8,0.2,"Erlinsbach AG","99,8 Prozent der Stimmbürgerinnen und Stimmbürger von Erlinsbach AG haben die ""Stopp-Impfpflicht""-Initiative angenommen. Erlinsbach AG hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton Aargau."
4006,41.6,41.6,58.4,"Gränichen AG","In Gränichen hat die Stimmbevölkerung die ""Stopp-Impfpflicht""-Initiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 58,4 Prozent verworfen. Gränichen hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4007,30.1,30.1,69.9,"Hirschthal AG","In Hirschthal hat die Stimmbevölkerung die ""Stopp-Impfpflicht""-Initiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 69,9 Prozent verworfen. Hirschthal hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4008,30.1,30.1,69.9,"Küttigen AG","Nein zur ""Stopp-Impfpflicht""-Initiative in Küttigen mit 69,9 Prozent Ablehnung. Küttigen hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4009,26,26,74,"Muhen AG","In Muhen hat die Stimmbevölkerung die ""Stopp-Impfpflicht""-Initiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 74 Prozent verworfen. Muhen hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4010,38.5,38.5,61.5,"Oberentfelden AG","Keine Mehrheit für die ""Stopp-Impfpflicht""-Initiative in Oberentfelden: Mit 4'243 Nein-Stimmen zu 2'660 Ja-Stimmen oder 61,5 Prozent hat die Gemeinde das Volksbegehren verworfen. Oberentfelden hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4012,47.1,47.1,52.9,"Suhr AG","Keine Mehrheit für die ""Stopp-Impfpflicht""-Initiative in Suhr: Mit 7'829 Nein-Stimmen zu 6'957 Ja-Stimmen oder 52,9 Prozent hat die Gemeinde das Volksbegehren verworfen. Suhr hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
