"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
301,91.1,91.1,8.9,"Aarberg (BE)","A Aarberg, les habitants sont favorables à l'initiative pour interdire la ""vaccination obligatoire"" avec 91,1 pour cent des suffrages. Aarberg a approuvé l'initiative, tout comme son canton."
302,70.2,70.2,29.8,"Bargen (BE)","Les électeurs de Bargen (BE) valident l'initiative pour interdire la ""vaccination obligatoire"" avec 70,2 pour cent des voix. Bargen (BE) a approuvé l'initiative, tout comme son canton."
303,35.1,35.1,64.9,"Grossaffoltern (BE)","A Grossaffoltern, les habitants disent non à 64,9 pour cent à l'initiative pour interdire ""la vaccination obligatoire"". Grossaffoltern a rejeté l'initiative, contrairement à son canton."
304,54.6,54.6,45.4,"Kallnach (BE)","C'est oui à 54,6 pour cent à l'initiative pour interdire la ""vaccination obligatoire"" à Kallnach. Kallnach a approuvé l'initiative, tout comme son canton."
305,20.6,20.6,79.4,"Kappelen (BE)","L'initiative pour interdire la ""vaccination obligatoire"" échoue à Kappelen avec 79,4 pour cent des suffrages. Kappelen a rejeté l'initiative, contrairement à son canton."
306,68.7,68.7,31.3,"Lyss (BE)","Les habitants de Lyss acceptent l'initiative pour interdire la ""vaccination obligatoire"" avec 68,7 pour cent de oui. Lyss a approuvé l'initiative, tout comme son canton."
307,44.9,44.9,55.1,"Meikirch (BE)","Les habitants de Meikirch s'opposent à l'initiative pour interdire la ""vaccination obligatoire"" avec 55,1 pour cent de non. Meikirch a rejeté l'initiative, contrairement à son canton."
309,48.5,48.5,51.5,"Radelfingen (BE)","A Radelfingen, les habitants sont défavorables à l'initiative pour interdire la ""vaccination obligatoire"" avec 51,5 pour cent des voix. Radelfingen a rejeté l'initiative, contrairement à son canton."
310,23.2,23.2,76.8,"Rapperswil (BE)","Les habitants de Rapperswil (BE) rejettent l'initiative pour interdire la ""vaccination obligatoire"" avec 76,8 pour cent de non. Rapperswil (BE) a rejeté l'initiative, contrairement à son canton."
311,51.2,51.2,48.8,"Schüpfen (BE)","A Schüpfen, les habitants disent oui à 51,2 pour cent à l'initiative pour interdire ""la vaccination obligatoire"". Schüpfen a approuvé l'initiative, tout comme son canton."
312,53.1,53.1,46.9,"Seedorf (BE)","Les habitants de Seedorf (BE) approuvent l'initiative pour interdire la ""vaccination obligatoire"" avec 53,1 pour cent des voix. Seedorf (BE) a approuvé l'initiative, tout comme son canton."
321,53,53,47,"Aarwangen (BE)","L'initiative pour interdire la ""vaccination obligatoire"" passe la rampe à Aarwangen avec 53 pour cent de oui. Aarwangen a approuvé l'initiative, tout comme son canton."
322,62.3,62.3,37.7,"Auswil (BE)","C'est oui à 62,3 pour cent à l'initiative pour interdire la ""vaccination obligatoire"" à Auswil. Auswil a approuvé l'initiative, tout comme son canton."
323,7.2,7.2,92.8,"Bannwil (BE)","A Bannwil, les habitants sont défavorables à l'initiative pour interdire la ""vaccination obligatoire"" avec 92,8 pour cent des voix. Bannwil a rejeté l'initiative, contrairement à son canton."
324,38.7,38.7,61.3,"Bleienbach (BE)","Les habitants de Bleienbach s'opposent à l'initiative pour interdire la ""vaccination obligatoire"" avec 61,3 pour cent de non. Bleienbach a rejeté l'initiative, contrairement à son canton."
325,56.5,56.5,43.5,"Busswil bei Melchnau (BE)","Les électeurs de Busswil bei Melchnau valident l'initiative pour interdire la ""vaccination obligatoire"" avec 56,5 pour cent des voix. Busswil bei Melchnau a approuvé l'initiative, tout comme son canton."
326,46.6,46.6,53.4,"Gondiswil (BE)","C'est non à 53,4 pour cent à l'initiative pour interdire la ""vaccination obligatoire"" à Gondiswil. Gondiswil a rejeté l'initiative, contrairement à son canton."
329,9.9,9.9,90.1,"Langenthal (BE)","L'initiative pour interdire la ""vaccination obligatoire"" échoue à Langenthal avec 90,1 pour cent des suffrages. Langenthal a rejeté l'initiative, contrairement à son canton."
331,36.1,36.1,63.9,"Lotzwil (BE)","Les habitants de Lotzwil s'opposent à l'initiative pour interdire la ""vaccination obligatoire"" avec 63,9 pour cent de non. Lotzwil a rejeté l'initiative, contrairement à son canton."
332,78.7,78.7,21.3,"Madiswil (BE)","A Madiswil, les habitants disent oui à 78,7 pour cent à l'initiative pour interdire ""la vaccination obligatoire"". Madiswil a approuvé l'initiative, tout comme son canton."
333,72.7,72.7,27.3,"Melchnau (BE)","L'initiative pour interdire la ""vaccination obligatoire"" passe la rampe à Melchnau avec 72,7 pour cent de oui. Melchnau a approuvé l'initiative, tout comme son canton."
335,49.4,49.4,50.6,"Oeschenbach (BE)","Les habitants d'Oeschenbach s'opposent à l'initiative pour interdire la ""vaccination obligatoire"" avec 50,6 pour cent de non. Oeschenbach a rejeté l'initiative, contrairement à son canton."
336,43.5,43.5,56.5,"Reisiswil (BE)","A Reisiswil, les habitants disent non à 56,5 pour cent à l'initiative pour interdire ""la vaccination obligatoire"". Reisiswil a rejeté l'initiative, contrairement à son canton."
337,50.5,50.5,49.5,"Roggwil (BE)","Les électeurs de Roggwil (BE) valident l'initiative pour interdire la ""vaccination obligatoire"" avec 50,5 pour cent des voix. Roggwil (BE) a approuvé l'initiative, tout comme son canton."
338,47.5,47.5,52.5,"Rohrbach (BE)","Les habitants de Rohrbach s'opposent à l'initiative pour interdire la ""vaccination obligatoire"" avec 52,5 pour cent de non. Rohrbach a rejeté l'initiative, contrairement à son canton."
339,46.6,46.6,53.4,"Rohrbachgraben (BE)","A Rohrbachgraben, les habitants sont défavorables à l'initiative pour interdire la ""vaccination obligatoire"" avec 53,4 pour cent des voix. Rohrbachgraben a rejeté l'initiative, contrairement à son canton."
