"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2761,36.9,36.9,63.1,"Aesch BL","Aesch BL hat die Prämienentlastungsinitiative mit 63,1 Prozent abgelehnt. Aesch BL hat damit anders abgestimmt als der Kanton Basel-Landschaft, der die Vorlage angenommen hat."
2762,45.1,45.1,54.9,"Allschwil BL","54,9 Prozent der Stimmbürgerinnen und Stimmbürger von Allschwil sagen Nein zur Prämienentlastungsinitiative. Allschwil hat damit anders abgestimmt als der Kanton Basel-Landschaft, der die Vorlage angenommen hat."
2763,58.2,58.2,41.8,"Arlesheim BL","Die Stimmbevölkerung von Arlesheim hat die Prämienentlastungsinitiative mit 58,2 Prozent angenommen. Arlesheim hat damit gleich wie der Kanton Basel-Landschaft Ja gesagt zu dieser Vorlage."
2764,18.2,18.2,81.8,"Biel-Benken BL","Nein zur Prämienentlastungsinitiative in Biel-Benken: Mit 1'186 Nein- zu 263 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 81,8 Prozent. Biel-Benken hat damit anders abgestimmt als der Kanton Basel-Landschaft, der die Vorlage angenommen hat."
2765,68.7,68.7,31.3,"Binningen BL","Die Stimmbevölkerung von Binningen hat die Prämienentlastungsinitiative mit 68,7 Prozent angenommen. Binningen hat damit gleich wie der Kanton Basel-Landschaft Ja gesagt zu dieser Vorlage."
2766,67.4,67.4,32.6,"Birsfelden BL","Ja zur Prämienentlastungsinitiative in Birsfelden: Mit 67,4 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Birsfelden hat damit gleich wie der Kanton Basel-Landschaft Ja gesagt zu dieser Vorlage."
2767,66.8,66.8,33.2,"Bottmingen BL","In Bottmingen hat die Stimmbevölkerung der Prämienentlastungsinitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 66,8 Prozent angenommen. Bottmingen hat damit gleich wie der Kanton Basel-Landschaft Ja gesagt zu dieser Vorlage."
2768,46.9,46.9,53.1,"Ettingen BL","In Ettingen hat die Stimmbevölkerung die Prämienentlastungsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 53,1 Prozent verworfen. Ettingen hat damit anders abgestimmt als der Kanton Basel-Landschaft, der die Vorlage angenommen hat."
2769,95,95,5,"Münchenstein BL","Die Stimmbevölkerung von Münchenstein hat die Prämienentlastungsinitiative mit 95 Prozent angenommen. Münchenstein hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton Basel-Landschaft."
2770,19,19,81,"Muttenz BL","Nein zur Prämienentlastungsinitiative in Muttenz: Mit 9'727 Nein- zu 2'283 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 81 Prozent. Muttenz hat damit anders abgestimmt als der Kanton Basel-Landschaft, der die Vorlage angenommen hat."
2771,41.1,41.1,58.9,"Oberwil BL","In Oberwil BL hat die Stimmbevölkerung die Prämienentlastungsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 58,9 Prozent verworfen. Oberwil BL hat damit anders abgestimmt als der Kanton Basel-Landschaft, der die Vorlage angenommen hat."
2772,20.5,20.5,79.5,"Pfeffingen BL","Keine Mehrheit für die Prämienentlastungsinitiative in Pfeffingen: Mit 2'626 Nein-Stimmen zu 676 Ja-Stimmen oder 79,5 Prozent hat die Gemeinde das Volksbegehren verworfen. Pfeffingen hat damit anders abgestimmt als der Kanton Basel-Landschaft, der die Vorlage angenommen hat."
2773,53.8,53.8,46.2,"Reinach BL","Die Gemeinde Reinach BL hat die Prämienentlastungsinitiative mit 53,8 Prozent Ja-Stimmen angenommen. Reinach BL hat damit gleich wie der Kanton Basel-Landschaft Ja gesagt zu dieser Vorlage."
