"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2761,50,0,0,"Aesch BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2762,50,0,0,"Allschwil BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2763,50,0,0,"Arlesheim BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2764,21.6,21.6,78.4,"Biel-Benken BL","Nein zur ""Stopp-Impfpflicht""-Initiative in Biel-Benken: Mit 78,4 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt."
2765,50,0,0,"Binningen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2766,50,0,0,"Birsfelden BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2767,50,0,0,"Bottmingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2768,50,0,0,"Ettingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2769,50,0,0,"Münchenstein BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2770,50,0,0,"Muttenz BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2771,50,0,0,"Oberwil BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2772,50,0,0,"Pfeffingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2773,50,0,0,"Reinach BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2774,50,0,0,"Schönenbuch BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2775,50,0,0,"Therwil BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2781,50,0,0,"Blauen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2782,30.7,30.7,69.3,"Brislach BL","Keine Mehrheit für die ""Stopp-Impfpflicht""-Initiative in Brislach: Mit 363 Nein-Stimmen zu 161 Ja-Stimmen oder 69,3 Prozent hat die Gemeinde das Volksbegehren verworfen."
2783,50,0,0,"Burg im Leimental BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2784,40.2,40.2,59.8,"Dittingen BL","In Dittingen hat die Stimmbevölkerung die ""Stopp-Impfpflicht""-Initiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 59,8 Prozent verworfen."
2785,50,0,0,"Duggingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2786,50,0,0,"Grellingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2787,50,0,0,"Laufen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2788,35.6,35.6,64.4,"Liesberg BL","64,4 Prozent der Stimmbürgerinnen und Stimmbürger von Liesberg sagen Nein zur ""Stopp-Impfpflicht""-Initiative."
2789,50,0,0,"Nenzlingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2790,53,53,47,"Roggenburg BL","53 Prozent der Abstimmenden in der Gemeinde Roggenburg haben Ja gesagt zur ""Stopp-Impfpflicht""-Initiative."
2791,33.5,33.5,66.5,"Röschenz BL","Röschenz hat die ""Stopp-Impfpflicht""-Initiative mit 66,5 Prozent abgelehnt."
2792,28.1,28.1,71.9,"Wahlen BL","In Wahlen hat die Stimmbevölkerung die ""Stopp-Impfpflicht""-Initiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 71,9 Prozent verworfen."
2793,50,0,0,"Zwingen BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2821,50,0,0,"Arisdorf BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2822,31,31,69,"Augst BL","In Augst hat die ""Stopp-Impfpflicht""-Initiative keine Mehrheit gefunden. Auf 69 Prozent der abgegebenen Stimmzettel stand ein Nein."
2823,50,0,0,"Bubendorf BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2824,50,0,0,"Frenkendorf BL","Die Resultate dieser Gemeinde sind noch nicht bekannt."
