"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
2008,46.8,46.8,53.2,"Châtillon (FR)","L'initiative du Centre ""pour un frein aux coûts"" ne passe pas la rampe à Châtillon (FR) avec 53,2 pour cent de non. Châtillon (FR) a rejeté l'initiative, tout comme son canton."
2011,42.4,42.4,57.6,"Cugy (FR)","C'est non à 57,6 pour cent à l'initiative du Centre ""pour un frein aux coûts"" à Cugy (FR). Cugy (FR) a rejeté l'initiative, tout comme son canton."
2016,81,81,19,"Fétigny (FR)","Les électeurs de Fétigny valident l'initiative du Centre ""pour un frein aux coûts"" avec 81 pour cent des voix. Fétigny a approuvé l'initiative, contrairement à son canton."
2022,23.4,23.4,76.6,"Gletterens (FR)","A Gletterens, les habitants sont défavorables à l'initiative du Centre ""pour un frein aux coûts"" avec 76,6 pour cent des voix. Gletterens a rejeté l'initiative, tout comme son canton."
2025,50.6,50.6,49.4,"Lully (FR)","C'est oui à 50,6 pour cent à l'initiative du Centre ""pour un frein aux coûts"" à Lully (FR). Lully (FR) a approuvé l'initiative, contrairement à son canton."
2027,27.8,27.8,72.2,"Ménières (FR)","L'initiative du Centre ""pour un frein aux coûts"" échoue à Ménières avec 72,2 pour cent des suffrages. Ménières a rejeté l'initiative, tout comme son canton."
2029,20,20,80,"Montagny (FR)","Les habitants de Montagny (FR) rejettent l'initiative du Centre ""pour un frein aux coûts"" avec 80 pour cent de non. Montagny (FR) a rejeté l'initiative, tout comme son canton."
2035,61.1,61.1,38.9,"Nuvilly (FR)","Les habitants de Nuvilly acceptent l'initiative du Centre ""pour un frein aux coûts"" avec 61,1 pour cent de oui. Nuvilly a approuvé l'initiative, contrairement à son canton."
2038,23.4,23.4,76.6,"Prévondavaux (FR)","Les habitants de Prévondavaux rejettent l'initiative du Centre ""pour un frein aux coûts"" avec 76,6 pour cent de non. Prévondavaux a rejeté l'initiative, tout comme son canton."
2041,60.6,60.6,39.4,"Saint-Aubin (FR)","Les habitants de Saint-Aubin (FR) approuvent l'initiative du Centre ""pour un frein aux coûts"" avec 60,6 pour cent des voix. Saint-Aubin (FR) a approuvé l'initiative, contrairement à son canton."
2043,77.3,77.3,22.7,"Sévaz (FR)","L'initiative du Centre ""pour un frein aux coûts"" passe la rampe à Sévaz avec 77,3 pour cent de oui. Sévaz a approuvé l'initiative, contrairement à son canton."
2044,39.9,39.9,60.1,"Surpierre (FR)","L'initiative du Centre ""pour un frein aux coûts"" échoue à Surpierre avec 60,1 pour cent des suffrages. Surpierre a rejeté l'initiative, tout comme son canton."
