"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2008,59.8,59.8,40.2,"Châtillon FR","Ja zur Prämienentlastungsinitiative in Châtillon FR. Die Gemeinde hat das Volksbegehren mit 59,8 Prozent der Stimmen angenommen."
2011,55.2,55.2,44.8,"Cugy FR","55,2 Prozent der Abstimmenden in der Gemeinde Cugy FR haben Ja gesagt zur Prämienentlastungsinitiative."
2016,50,0,0,"Fétigny FR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2022,50,0,0,"Gletterens FR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2025,50,0,0,"Lully FR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2027,54.4,54.4,45.6,"Ménières FR","54,4 Prozent der Stimmbürgerinnen und Stimmbürger von Ménières haben die Prämienentlastungsinitiative angenommen."
2029,50,0,0,"Montagny FR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2035,50,0,0,"Nuvilly FR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2038,50,0,0,"Prévondavaux FR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2041,49.7,49.7,50.3,"Saint-Aubin FR","50,3 Prozent der Stimmbürgerinnen und Stimmbürger von Saint-Aubin FR sagen Nein zur Prämienentlastungsinitiative."
2043,66.3,66.3,33.7,"Sévaz FR","Ja zur Prämienentlastungsinitiative in Sévaz. Mit 65 Ja- zu 33 Nein-Stimmen ist das Volksbegehren angenommen worden."
2044,66.9,66.9,33.1,"Surpierre FR","66,9 Prozent der Stimmbürgerinnen und Stimmbürger von Surpierre haben die Prämienentlastungsinitiative angenommen."
2045,50,0,0,"Vallon FR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2050,59.8,59.8,40.2,"Les Montets FR","59,8 Prozent der Stimmbürgerinnen und Stimmbürger von Les Montets haben die Prämienentlastungsinitiative angenommen."
2051,50,0,0,"Delley-Portalban FR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2053,50,0,0,"Belmont-Broye FR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2054,50,0,0,"Estavayer FR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2055,50,0,0,"Cheyres-Châbles FR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2061,50,0,0,"Auboranges FR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2063,50,0,0,"Billens-Hennens FR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2066,50,0,0,"Chapelle (Glâne) FR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2067,57,57,43,"Le Châtelard FR","Ja zur Prämienentlastungsinitiative in Le Châtelard. Mit 53 Ja- zu 40 Nein-Stimmen ist das Volksbegehren angenommen worden."
2068,60.3,60.3,39.7,"Châtonnaye FR","60,3 Prozent der Stimmbürgerinnen und Stimmbürger von Châtonnaye haben die Prämienentlastungsinitiative angenommen."
2072,50,0,0,"Ecublens FR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2079,60.6,60.6,39.4,"Grangettes FR","Grangettes hat die Prämienentlastungsinitiative mit 40 Ja- zu 26 Nein-Stimmen angenommen."
2086,50,0,0,"Massonnens FR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2087,59.1,59.1,40.9,"Mézières FR","59,1 Prozent der Stimmbürgerinnen und Stimmbürger von Mézières FR haben die Prämienentlastungsinitiative angenommen."
2089,55.7,55.7,44.3,"Montet (Glâne) FR","55,7 Prozent der Stimmbürgerinnen und Stimmbürger von Montet (Glâne) haben die Prämienentlastungsinitiative angenommen."
2096,50,0,0,"Romont FR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2097,65.6,65.6,34.4,"Rue FR","65,6 Prozent der Abstimmenden in der Gemeinde Rue haben Ja gesagt zur Prämienentlastungsinitiative."
2099,50,0,0,"Siviriez FR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2102,59.6,59.6,40.4,"Ursy FR","In Ursy hat die Stimmbevölkerung der Prämienentlastungsinitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 59,6 Prozent angenommen."
2113,62,62,38,"Vuisternens-devant-Romont FR","62 Prozent der Abstimmenden in der Gemeinde Vuisternens-devant-Romont haben Ja gesagt zur Prämienentlastungsinitiative."
2114,58,58,42,"Villorsonnens FR","58 Prozent der Abstimmenden in der Gemeinde Villorsonnens haben Ja gesagt zur Prämienentlastungsinitiative."
2115,50,0,0,"Torny FR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2117,50,0,0,"Villaz FR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2121,57.3,57.3,42.7,"Haut-Intyamon FR","Die Gemeinde Haut-Intyamon hat die Prämienentlastungsinitiative mit 57,3 Prozent Ja-Stimmen angenommen."
2122,50,0,0,"Pont-en-Ogoz FR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2123,61.8,61.8,38.2,"Botterens FR","Die Gemeinde Botterens hat die Prämienentlastungsinitiative mit 61,8 Prozent Ja-Stimmen angenommen."
2124,50,0,0,"Broc FR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2125,50,0,0,"Bulle FR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
