"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6601,87.7,87.7,12.3,"Aire-la-Ville (GE)","Les habitants d'Aire-la-Ville acceptent la loi sur l'électricité avec 87,7 pour cent de oui. Aire-la-Ville a approuvé la loi, tout comme son canton."
6602,28.5,28.5,71.5,"Anières (GE)","A Anières, les habitants sont défavorables à la loi sur l'électricité avec 71,5 pour cent des voix. Anières a rejeté la loi, contrairement à son canton."
6603,49.2,49.2,50.8,"Avully (GE)","Les habitants d'Avully s'opposent à la loi sur l'électricité avec 50,8 pour cent de non. Avully a rejeté la loi, contrairement à son canton."
6604,32.6,32.6,67.4,"Avusy (GE)","A Avusy, les habitants disent non à 67,4 pour cent à l'initiative du Centre pour un ""frein aux coûts"". Avusy a rejeté la loi, contrairement à son canton."
6605,50,50,50,"Bardonnex (GE)","Egalité parfaite à Bardonnex! Les électeurs de cette commune sont 9'006 à approuver la loi sur l'électricité et 9'006 à la refuser."
6606,92.7,92.7,7.3,"Bellevue (GE)","Les habitants de Bellevue approuvent la loi sur l'électricité avec 92,7 pour cent des voix. Bellevue a approuvé la loi, tout comme son canton."
6607,34.7,34.7,65.3,"Bernex (GE)","Les habitants de Bernex s'opposent à la loi sur l'électricité avec 65,3 pour cent de non. Bernex a rejeté la loi, contrairement à son canton."
6608,64.6,64.6,35.4,"Carouge (GE)","C'est oui à 64,6 pour cent à la loi sur l'électricité à Carouge (GE). Carouge (GE) a approuvé la loi, tout comme son canton."
6609,9,9,91,"Cartigny (GE)","La loi sur l'électricité échoue à Cartigny avec 91 pour cent des suffrages. Cartigny a rejeté la loi, contrairement à son canton."
6610,66.5,66.5,33.5,"Céligny (GE)","A Céligny, les habitants sont favorables à la loi sur l'électricité avec 66,5 pour cent des suffrages. Céligny a approuvé la loi, tout comme son canton."
6611,65,65,35,"Chancy (GE)","C'est oui à 65 pour cent à la loi sur l'électricité à Chancy. Chancy a approuvé la loi, tout comme son canton."
6612,77.7,77.7,22.3,"Chêne-Bougeries (GE)","Les habitants de Chêne-Bougeries acceptent la loi sur l'électricité avec 77,7 pour cent de oui. Chêne-Bougeries a approuvé la loi, tout comme son canton."
6613,62.7,62.7,37.3,"Chêne-Bourg (GE)","Les habitants de Chêne-Bourg acceptent la loi sur l'électricité avec 62,7 pour cent de oui. Chêne-Bourg a approuvé la loi, tout comme son canton."
6614,82.1,82.1,17.9,"Choulex (GE)","A Choulex, les habitants sont favorables à la loi sur l'électricité avec 82,1 pour cent des suffrages. Choulex a approuvé la loi, tout comme son canton."
