"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6601,79.4,79.4,20.6,"Aire-la-Ville (GE)","Les habitants d'Aire-la-Ville acceptent d'inscrire dans la Constitution l'interdiction des symboles de haine, dont la croix gammée nazie, dans les espaces publics avec 79,4 pour cent de oui. Aire-la-Ville a approuvé le texte, tout comme son canton."
6602,13.4,13.4,86.6,"Anières (GE)","Les habitants d'Anières rejettent la proposition d'inscrire dans la Constitution l'interdiction des symboles de haine, dont la croix gammée nazie, dans les espaces publics avec 86,6 pour cent de non. Anières a rejeté le texte, contrairement à son canton."
6603,63.2,63.2,36.8,"Avully (GE)","Les habitants d'Avully approuvent l'inscription dans la Constitution d'une interdiction des symboles de haine, dont la croix gammée nazie, dans les espaces publics avec 63,2 pour cent de oui. Avully a approuvé le texte, tout comme son canton."
6604,38.1,38.1,61.9,"Avusy (GE)","A Avusy, les habitants disent non à 61,9 pour cent à l'inscription dans la Constitution d'une interdiction des symboles de haine, dont la croix gammée nazie, dans les espaces publics. Avusy a rejeté le texte, contrairement à son canton."
6605,43.6,43.6,56.4,"Bardonnex (GE)","Les habitants de Bardonnex s'opposent à l'inscription dans la Constitution d'une interdiction des symboles de haine, dont la croix gammée nazie, dans les espaces publics avec 56,4 pour cent de non. Bardonnex a rejeté le texte, contrairement à son canton."
6606,32.2,32.2,67.8,"Bellevue (GE)","Les habitants de Bellevue s'opposent à l'inscription dans la Constitution d'une interdiction des symboles de haine, dont la croix gammée nazie, dans les espaces publics avec 67,8 pour cent de non. Bellevue a rejeté le texte, contrairement à son canton."
6607,76.2,76.2,23.8,"Bernex (GE)","Les habitants de Bernex approuvent l'inscription dans la Constitution d'une interdiction des symboles de haine, dont la croix gammée nazie, dans les espaces publics avec 76,2 pour cent de oui. Bernex a approuvé le texte, tout comme son canton."
6608,64.7,64.7,35.3,"Carouge (GE)","Les habitants de Carouge (GE) acceptent d'inscrire dans la Constitution l'interdiction des symboles de haine, dont la croix gammée nazie, dans les espaces publics avec 64,7 pour cent de oui. Carouge (GE) a approuvé le texte, tout comme son canton."
6609,34.9,34.9,65.1,"Cartigny (GE)","A Cartigny, les habitants disent non à 65,1 pour cent à l'inscription dans la Constitution d'une interdiction des symboles de haine, dont la croix gammée nazie, dans les espaces publics. Cartigny a rejeté le texte, contrairement à son canton."
6610,98.9,98.9,1.1,"Céligny (GE)","Les habitants de Céligny acceptent d'inscrire dans la Constitution l'interdiction des symboles de haine, dont la croix gammée nazie, dans les espaces publics avec 98,9 pour cent de oui. C'est à Céligny que la plus forte acceptation de cet objet a été enregistrée."
