"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1501,72.6,72.6,27.4,"Beckenried NW","Die Gemeinde Beckenried hat die Kostenbremse-Initiative mit 72,6 Prozent Ja-Stimmen angenommen. Beckenried hat damit gleich wie der Kanton Nidwalden Ja gesagt zu dieser Vorlage."
1502,80.3,80.3,19.7,"Buochs NW","80,3 Prozent der Stimmbürgerinnen und Stimmbürger von Buochs haben die Kostenbremse-Initiative angenommen. Buochs hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton Nidwalden."
1503,52.3,52.3,47.7,"Dallenwil NW","Ja zur Kostenbremse-Initiative in Dallenwil: Mit 52,3 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Dallenwil hat damit gleich wie der Kanton Nidwalden Ja gesagt zu dieser Vorlage."
1504,50.1,50.1,49.9,"Emmetten NW","Die Gemeinde Emmetten hat die Kostenbremse-Initiative mit 50,1 Prozent Ja-Stimmen angenommen. Emmetten hat damit gleich wie der Kanton Nidwalden Ja gesagt zu dieser Vorlage."
1505,71.8,71.8,28.2,"Ennetbürgen NW","Die Gemeinde Ennetbürgen hat die Kostenbremse-Initiative mit 71,8 Prozent Ja-Stimmen angenommen. Ennetbürgen hat damit gleich wie der Kanton Nidwalden Ja gesagt zu dieser Vorlage."
1506,36.8,36.8,63.2,"Ennetmoos NW","In Ennetmoos hat die Kostenbremse-Initiative keine Mehrheit gefunden. Auf 63,2 Prozent der abgegebenen Stimmzettel stand ein Nein. Ennetmoos hat damit anders abgestimmt als der Kanton Nidwalden, der die Vorlage angenommen hat."
1507,55.4,55.4,44.6,"Hergiswil NW","Ja zur Kostenbremse-Initiative in Hergiswil NW: Mit 55,4 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Hergiswil NW hat damit gleich wie der Kanton Nidwalden Ja gesagt zu dieser Vorlage."
1508,15.7,15.7,84.3,"Oberdorf NW","Keine Mehrheit für die Kostenbremse-Initiative in Oberdorf NW: Mit 9'638 Nein-Stimmen zu 1'792 Ja-Stimmen oder 84,3 Prozent hat die Gemeinde das Volksbegehren verworfen. Oberdorf NW hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Nidwalden."
1509,39,39,61,"Stans NW","In Stans hat die Kostenbremse-Initiative keine Mehrheit gefunden. Auf 61 Prozent der abgegebenen Stimmzettel stand ein Nein. Stans hat damit anders abgestimmt als der Kanton Nidwalden, der die Vorlage angenommen hat."
1510,44.2,44.2,55.8,"Stansstad NW","Keine Mehrheit für die Kostenbremse-Initiative in Stansstad: Mit 8'252 Nein-Stimmen zu 6'539 Ja-Stimmen oder 55,8 Prozent hat die Gemeinde das Volksbegehren verworfen. Stansstad hat damit anders abgestimmt als der Kanton Nidwalden, der die Vorlage angenommen hat."
1511,66.1,66.1,33.9,"Wolfenschiessen NW","In Wolfenschiessen hat die Stimmbevölkerung der Kostenbremse-Initiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 66,1 Prozent angenommen. Wolfenschiessen hat damit gleich wie der Kanton Nidwalden Ja gesagt zu dieser Vorlage."
