"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1501,39.7,39.7,60.3,"Beckenried NW","In Beckenried hat die ""Stopp-Impfpflicht""-Initiative keine Mehrheit gefunden. Auf 60,3 Prozent der abgegebenen Stimmzettel stand ein Nein. Beckenried hat damit anders abgestimmt als der Kanton Nidwalden, der die Vorlage angenommen hat."
1502,19.2,19.2,80.8,"Buochs NW","Nein zur ""Stopp-Impfpflicht""-Initiative in Buochs: Mit 80,8 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Buochs hat damit anders abgestimmt als der Kanton Nidwalden, der die Vorlage angenommen hat."
1503,5.9,5.9,94.1,"Dallenwil NW","94,1 Prozent der Stimmbürgerinnen und Stimmbürger von Dallenwil sagen Nein zur ""Stopp-Impfpflicht""-Initiative. Dallenwil hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Nidwalden."
1504,39,39,61,"Emmetten NW","In Emmetten hat die ""Stopp-Impfpflicht""-Initiative keine Mehrheit gefunden. Auf 61 Prozent der abgegebenen Stimmzettel stand ein Nein. Emmetten hat damit anders abgestimmt als der Kanton Nidwalden, der die Vorlage angenommen hat."
1505,80.6,80.6,19.4,"Ennetbürgen NW","Die Gemeinde Ennetbürgen hat die ""Stopp-Impfpflicht""-Initiative mit 80,6 Prozent Ja-Stimmen angenommen. Ennetbürgen hat damit gleich wie der Kanton Nidwalden Ja gesagt zu dieser Vorlage."
1506,50.6,50.6,49.4,"Ennetmoos NW","Die Gemeinde Ennetmoos hat die ""Stopp-Impfpflicht""-Initiative mit 50,6 Prozent Ja-Stimmen angenommen. Ennetmoos hat damit gleich wie der Kanton Nidwalden Ja gesagt zu dieser Vorlage."
1507,76.9,76.9,23.1,"Hergiswil NW","Ja zur ""Stopp-Impfpflicht""-Initiative in Hergiswil NW: Mit 76,9 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Hergiswil NW hat damit gleich wie der Kanton Nidwalden Ja gesagt zu dieser Vorlage."
1508,70.5,70.5,29.5,"Oberdorf NW","70,5 Prozent der Abstimmenden in der Gemeinde Oberdorf NW haben Ja gesagt zur ""Stopp-Impfpflicht""-Initiative. Oberdorf NW hat damit gleich wie der Kanton Nidwalden Ja gesagt zu dieser Vorlage."
1509,48.4,48.4,51.6,"Stans NW","In Stans hat die ""Stopp-Impfpflicht""-Initiative keine Mehrheit gefunden. Auf 51,6 Prozent der abgegebenen Stimmzettel stand ein Nein. Stans hat damit anders abgestimmt als der Kanton Nidwalden, der die Vorlage angenommen hat."
1510,94.3,94.3,5.7,"Stansstad NW","94,3 Prozent der Abstimmenden in der Gemeinde Stansstad haben Ja gesagt zur ""Stopp-Impfpflicht""-Initiative. Stansstad hat damit gleich wie der Kanton Nidwalden Ja gesagt zu dieser Vorlage."
1511,96.5,96.5,3.5,"Wolfenschiessen NW","In Wolfenschiessen hat die Stimmbevölkerung der ""Stopp-Impfpflicht""-Initiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 96,5 Prozent angenommen. Wolfenschiessen hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton Nidwalden."
