"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
3201,49.1,49.1,50.9,"Häggenschwil SG","Häggenschwil hat die Kostenbremse-Initiative mit 50,9 Prozent abgelehnt. Häggenschwil hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3202,27.5,27.5,72.5,"Muolen SG","In Muolen hat die Kostenbremse-Initiative keine Mehrheit gefunden. Auf 72,5 Prozent der abgegebenen Stimmzettel stand ein Nein. Muolen hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3203,65.3,65.3,34.7,"St. Gallen SG","Ja zur Kostenbremse-Initiative in St. Gallen: Mit 65,3 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. St. Gallen hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3204,75,75,25,"Wittenbach SG","Ja zur Kostenbremse-Initiative in Wittenbach. Die Gemeinde hat das Volksbegehren mit 75 Prozent der Stimmen angenommen. Wittenbach hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3211,80.5,80.5,19.5,"Berg SG","Die Gemeinde Berg SG hat die Kostenbremse-Initiative mit 80,5 Prozent Ja-Stimmen angenommen. Berg SG hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3212,64.3,64.3,35.7,"Eggersriet SG","64,3 Prozent der Stimmbürgerinnen und Stimmbürger von Eggersriet haben die Kostenbremse-Initiative angenommen. Eggersriet hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3213,48.9,48.9,51.1,"Goldach SG","Keine Mehrheit für die Kostenbremse-Initiative in Goldach: Mit 7'361 Nein-Stimmen zu 7'038 Ja-Stimmen oder 51,1 Prozent hat die Gemeinde das Volksbegehren verworfen. Goldach hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3214,21.4,21.4,78.6,"Mörschwil SG","78,6 Prozent der Stimmbürgerinnen und Stimmbürger von Mörschwil sagen Nein zur Kostenbremse-Initiative. Mörschwil hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3215,82.5,82.5,17.5,"Rorschach SG","82,5 Prozent der Abstimmenden in der Gemeinde Rorschach haben Ja gesagt zur Kostenbremse-Initiative. Rorschach hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3216,34.1,34.1,65.9,"Rorschacherberg SG","Nein zur Kostenbremse-Initiative in Rorschacherberg: Mit 65,9 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Rorschacherberg hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3217,75.5,75.5,24.5,"Steinach SG","Ja zur Kostenbremse-Initiative in Steinach. Die Gemeinde hat das Volksbegehren mit 75,5 Prozent der Stimmen angenommen. Steinach hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3218,74.4,74.4,25.6,"Tübach SG","Ja zur Kostenbremse-Initiative in Tübach. Die Gemeinde hat das Volksbegehren mit 74,4 Prozent der Stimmen angenommen. Tübach hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3219,97.2,97.2,2.8,"Untereggen SG","97,2 Prozent der Stimmbürgerinnen und Stimmbürger von Untereggen haben die Kostenbremse-Initiative angenommen. Untereggen hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton St. Gallen."
3231,69.8,69.8,30.2,"Au SG","In Au SG hat die Stimmbevölkerung der Kostenbremse-Initiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 69,8 Prozent angenommen. Au SG hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3232,70.4,70.4,29.6,"Balgach SG","70,4 Prozent der Abstimmenden in der Gemeinde Balgach haben Ja gesagt zur Kostenbremse-Initiative. Balgach hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3233,39.7,39.7,60.3,"Berneck SG","Nein zur Kostenbremse-Initiative in Berneck mit 60,3 Prozent Ablehnung. Berneck hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3234,58.6,58.6,41.4,"Diepoldsau SG","Die Gemeinde Diepoldsau hat die Kostenbremse-Initiative mit 58,6 Prozent Ja-Stimmen angenommen. Diepoldsau hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3235,40.8,40.8,59.2,"Rheineck SG","Keine Mehrheit für die Kostenbremse-Initiative in Rheineck: Mit 5'045 Nein-Stimmen zu 3'473 Ja-Stimmen oder 59,2 Prozent hat die Gemeinde das Volksbegehren verworfen. Rheineck hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3236,63.8,63.8,36.2,"St. Margrethen SG","Ja zur Kostenbremse-Initiative in St. Margrethen: Mit 63,8 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. St. Margrethen hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3237,68.4,68.4,31.6,"Thal SG","68,4 Prozent der Abstimmenden in der Gemeinde Thal haben Ja gesagt zur Kostenbremse-Initiative. Thal hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3238,21,21,79,"Widnau SG","Nein zur Kostenbremse-Initiative in Widnau mit 79 Prozent Ablehnung. Widnau hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3251,90,90,10,"Altstätten SG","90 Prozent der Abstimmenden in der Gemeinde Altstätten haben Ja gesagt zur Kostenbremse-Initiative. Altstätten hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3252,23.5,23.5,76.5,"Eichberg SG","In Eichberg hat die Kostenbremse-Initiative keine Mehrheit gefunden. Auf 76,5 Prozent der abgegebenen Stimmzettel stand ein Nein. Eichberg hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3253,32.1,32.1,67.9,"Marbach SG","Marbach SG hat die Kostenbremse-Initiative mit 67,9 Prozent abgelehnt. Marbach SG hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3254,9.5,9.5,90.5,"Oberriet SG","Nein zur Kostenbremse-Initiative in Oberriet SG: Mit 90,5 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Oberriet SG hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3255,54.4,54.4,45.6,"Rebstein SG","Die Gemeinde Rebstein hat die Kostenbremse-Initiative mit 54,4 Prozent angenommen. Rebstein hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3256,45.3,45.3,54.7,"Rüthi SG","54,7 Prozent der Stimmbürgerinnen und Stimmbürger von Rüthi SG sagen Nein zur Kostenbremse-Initiative. Rüthi SG hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3271,64.1,64.1,35.9,"Buchs SG","Ja zur Kostenbremse-Initiative in Buchs SG. Die Gemeinde hat das Volksbegehren mit 64,1 Prozent der Stimmen angenommen. Buchs SG hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3272,49.8,49.8,50.2,"Gams SG","50,2 Prozent der Stimmbürgerinnen und Stimmbürger von Gams sagen Nein zur Kostenbremse-Initiative. Gams hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3273,55.3,55.3,44.7,"Grabs SG","Die Gemeinde Grabs hat die Kostenbremse-Initiative mit 55,3 Prozent Ja-Stimmen angenommen. Grabs hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3274,36.7,36.7,63.3,"Sennwald SG","In Sennwald hat die Stimmbevölkerung die Kostenbremse-Initiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 63,3 Prozent verworfen. Sennwald hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3275,90.7,90.7,9.3,"Sevelen SG","Ja zur Kostenbremse-Initiative in Sevelen. Die Gemeinde hat das Volksbegehren mit 90,7 Prozent der Stimmen angenommen. Sevelen hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3276,81.7,81.7,18.3,"Wartau SG","81,7 Prozent der Abstimmenden in der Gemeinde Wartau haben Ja gesagt zur Kostenbremse-Initiative. Wartau hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3291,44.4,44.4,55.6,"Bad Ragaz SG","Nein zur Kostenbremse-Initiative in Bad Ragaz: Mit 55,6 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Bad Ragaz hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3292,49.5,49.5,50.5,"Flums SG","In Flums hat die Kostenbremse-Initiative keine Mehrheit gefunden. Auf 50,5 Prozent der abgegebenen Stimmzettel stand ein Nein. Flums hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3293,62.4,62.4,37.6,"Mels SG","In Mels hat die Stimmbevölkerung der Kostenbremse-Initiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 62,4 Prozent angenommen. Mels hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3294,84.3,84.3,15.7,"Pfäfers SG","Die Gemeinde Pfäfers hat die Kostenbremse-Initiative mit 84,3 Prozent Ja-Stimmen angenommen. Pfäfers hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3295,53.7,53.7,46.3,"Quarten SG","Die Gemeinde Quarten hat die Kostenbremse-Initiative mit 53,7 Prozent Ja-Stimmen angenommen. Quarten hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3296,72.3,72.3,27.7,"Sargans SG","Die Gemeinde Sargans hat die Kostenbremse-Initiative mit 72,3 Prozent Ja-Stimmen angenommen. Sargans hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3297,21.1,21.1,78.9,"Vilters-Wangs SG","Vilters-Wangs hat die Kostenbremse-Initiative mit 78,9 Prozent abgelehnt. Vilters-Wangs hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3298,53.3,53.3,46.7,"Walenstadt SG","53,3 Prozent der Stimmbürgerinnen und Stimmbürger von Walenstadt haben die Kostenbremse-Initiative angenommen. Walenstadt hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3311,51.3,51.3,48.7,"Amden SG","Die Gemeinde Amden hat die Kostenbremse-Initiative mit 51,3 Prozent angenommen. Amden hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3312,55.2,55.2,44.8,"Benken SG","55,2 Prozent der Abstimmenden in der Gemeinde Benken SG haben Ja gesagt zur Kostenbremse-Initiative. Benken SG hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3313,50,50,50,"Kaltbrunn SG","Ja zur Kostenbremse-Initiative in Kaltbrunn: Mit 50 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Kaltbrunn hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3315,66.7,66.7,33.3,"Schänis SG","Die Gemeinde Schänis hat die Kostenbremse-Initiative mit 66,7 Prozent Ja-Stimmen angenommen. Schänis hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3316,47.7,47.7,52.3,"Weesen SG","Nein zur Kostenbremse-Initiative in Weesen: Mit 52,3 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Weesen hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3338,50.1,50.1,49.9,"Schmerikon SG","In Schmerikon hat die Stimmbevölkerung der Kostenbremse-Initiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 50,1 Prozent angenommen. Schmerikon hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3339,55.7,55.7,44.3,"Uznach SG","Die Gemeinde Uznach hat die Kostenbremse-Initiative mit 55,7 Prozent angenommen. Uznach hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
3340,46.8,46.8,53.2,"Rapperswil-Jona SG","In Rapperswil-Jona hat die Kostenbremse-Initiative keine Mehrheit gefunden. Auf 53,2 Prozent der abgegebenen Stimmzettel stand ein Nein. Rapperswil-Jona hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3341,87.4,87.4,12.6,"Gommiswald SG","Die Gemeinde Gommiswald hat die Kostenbremse-Initiative mit 87,4 Prozent Ja-Stimmen angenommen. Gommiswald hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage abgelehnt hat."
