"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2401,24.6,24.6,75.4,"Egerkingen SO","In Egerkingen hat die Prämienentlastungsinitiative keine Mehrheit gefunden. Auf 75,4 Prozent der abgegebenen Stimmzettel stand ein Nein. Egerkingen hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2402,5.9,5.9,94.1,"Härkingen SO","Nein zu einer 13. AHV-Rente in Härkingen. Die Gemeinde hat die Initiative mit 94,1 Prozent abgelehnt. Härkingen hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2403,49,49,51,"Kestenholz SO","Keine Mehrheit für die Prämienentlastungsinitiative in Kestenholz: Mit 4'621 Nein-Stimmen zu 4'433 Ja-Stimmen oder 51 Prozent hat die Gemeinde das Volksbegehren verworfen. Kestenholz hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2404,17.4,17.4,82.6,"Neuendorf SO","In Neuendorf hat die Stimmbevölkerung die Prämienentlastungsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 82,6 Prozent verworfen. Neuendorf hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2405,79.3,79.3,20.7,"Niederbuchsiten SO","79,3 Prozent der Stimmbürgerinnen und Stimmbürger von Niederbuchsiten haben die Prämienentlastungsinitiative angenommen. Niederbuchsiten hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2406,44.9,44.9,55.1,"Oberbuchsiten SO","Nein zur Prämienentlastungsinitiative in Oberbuchsiten: Mit 4'274 Nein- zu 3'484 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 55,1 Prozent. Oberbuchsiten hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2407,24.3,24.3,75.7,"Oensingen SO","In Oensingen hat die Stimmbevölkerung die Prämienentlastungsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 75,7 Prozent verworfen. Oensingen hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2408,95.9,95.9,4.1,"Wolfwil SO","Die Gemeinde Wolfwil hat die Prämienentlastungsinitiative mit 95,9 Prozent Ja-Stimmen angenommen. Wolfwil hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2421,81.2,81.2,18.8,"Aedermannsdorf SO","In Aedermannsdorf hat die Stimmbevölkerung der Prämienentlastungsinitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 81,2 Prozent angenommen. Aedermannsdorf hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2422,33.3,33.3,66.7,"Balsthal SO","Keine Mehrheit für die Prämienentlastungsinitiative in Balsthal: Mit 5'217 Nein-Stimmen zu 2'599 Ja-Stimmen oder 66,7 Prozent hat die Gemeinde das Volksbegehren verworfen. Balsthal hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2424,20.1,20.1,79.9,"Herbetswil SO","Keine Mehrheit für die Prämienentlastungsinitiative in Herbetswil: Mit 6'437 Nein-Stimmen zu 1'620 Ja-Stimmen oder 79,9 Prozent hat die Gemeinde das Volksbegehren verworfen. Herbetswil hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2425,48.1,48.1,51.9,"Holderbank SO","51,9 Prozent der Stimmbürgerinnen und Stimmbürger von Holderbank SO sagen Nein zur Prämienentlastungsinitiative. Holderbank SO hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2426,54.1,54.1,45.9,"Laupersdorf SO","Ja zur Prämienentlastungsinitiative in Laupersdorf: Mit 54,1 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Laupersdorf hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
