"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1701,13.4,13.4,86.6,"Baar ZG","Keine Mehrheit für die ""Stopp-Impfpflicht""-Initiative in Baar: Mit 2'986 Nein-Stimmen zu 463 Ja-Stimmen oder 86,6 Prozent hat die Gemeinde das Volksbegehren verworfen. Baar hat damit gleich wie der Kanton Zug Nein gesagt zu dieser Vorlage."
1702,37.8,37.8,62.2,"Cham ZG","In Cham hat die Stimmbevölkerung die ""Stopp-Impfpflicht""-Initiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 62,2 Prozent verworfen. Cham hat damit gleich wie der Kanton Zug Nein gesagt zu dieser Vorlage."
1703,68.9,68.9,31.1,"Hünenberg ZG","Die Gemeinde Hünenberg hat die ""Stopp-Impfpflicht""-Initiative mit 68,9 Prozent angenommen. Hünenberg hat damit anders abgestimmt als der Kanton Zug, der die Vorlage abgelehnt hat."
1704,30.3,30.3,69.7,"Menzingen ZG","Keine Mehrheit für die ""Stopp-Impfpflicht""-Initiative in Menzingen: Mit 2'460 Nein-Stimmen zu 1'069 Ja-Stimmen oder 69,7 Prozent hat die Gemeinde das Volksbegehren verworfen. Menzingen hat damit gleich wie der Kanton Zug Nein gesagt zu dieser Vorlage."
1705,20.2,20.2,79.8,"Neuheim ZG","Neuheim hat die ""Stopp-Impfpflicht""-Initiative mit 79,8 Prozent abgelehnt. Neuheim hat damit gleich wie der Kanton Zug Nein gesagt zu dieser Vorlage."
1706,79.2,79.2,20.8,"Oberägeri ZG","In Oberägeri hat die Stimmbevölkerung der ""Stopp-Impfpflicht""-Initiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 79,2 Prozent angenommen. Oberägeri hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton Zug."
1707,38.7,38.7,61.3,"Risch ZG","Nein zur ""Stopp-Impfpflicht""-Initiative in Risch: Mit 61,3 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Risch hat damit gleich wie der Kanton Zug Nein gesagt zu dieser Vorlage."
1708,41.1,41.1,58.9,"Steinhausen ZG","In Steinhausen hat die Stimmbevölkerung die ""Stopp-Impfpflicht""-Initiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 58,9 Prozent verworfen. Steinhausen hat damit gleich wie der Kanton Zug Nein gesagt zu dieser Vorlage."
1709,20.5,20.5,79.5,"Unterägeri ZG","In Unterägeri hat die ""Stopp-Impfpflicht""-Initiative keine Mehrheit gefunden. Auf 79,5 Prozent der abgegebenen Stimmzettel stand ein Nein. Unterägeri hat damit gleich wie der Kanton Zug Nein gesagt zu dieser Vorlage."
1710,24.7,24.7,75.3,"Walchwil ZG","In Walchwil hat die Stimmbevölkerung die ""Stopp-Impfpflicht""-Initiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 75,3 Prozent verworfen. Walchwil hat damit gleich wie der Kanton Zug Nein gesagt zu dieser Vorlage."
1711,9.4,9.4,90.6,"Zug ZG","Zug hat die ""Stopp-Impfpflicht""-Initiative mit 90,6 Prozent abgelehnt. Zug hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Zug."
