"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
3001,50,0,0,"Herisau AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3002,50,0,0,"Hundwil AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3003,50,0,0,"Schönengrund AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3004,50,0,0,"Schwellbrunn AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3005,50,0,0,"Stein AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3006,50,0,0,"Urnäsch AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3007,50,0,0,"Waldstatt AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3021,50,0,0,"Bühler AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3022,50,0,0,"Gais AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3023,50,0,0,"Speicher AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3024,50,0,0,"Teufen AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3025,50,0,0,"Trogen AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3031,50,0,0,"Grub AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3032,50,0,0,"Heiden AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3033,50,0,0,"Lutzenberg AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3034,50,0,0,"Rehetobel AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3035,50,0,0,"Reute AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3036,50,0,0,"Wald AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3037,50,0,0,"Walzenhausen AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3038,50,0,0,"Wolfhalden AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3101,57.9,57.9,42.1,"Appenzell AI","Ja zum Stromgesetz in Appenzell: Mit 57,9 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen. Appenzell hat damit gleich wie der Kanton Appenzell Innerrhoden Ja gesagt zu dieser Vorlage."
3102,57.4,57.4,42.6,"Gonten AI","57,4 Prozent der Abstimmenden in der Gemeinde Gonten haben Ja gesagt zum Stromgesetz. Gonten hat damit gleich wie der Kanton Appenzell Innerrhoden Ja gesagt zu dieser Vorlage."
3104,54.1,54.1,45.9,"Schlatt-Haslen AI","In Schlatt-Haslen hat die Stimmbevölkerung dem Stromgesetz zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 54,1 Prozent angenommen. Schlatt-Haslen hat damit gleich wie der Kanton Appenzell Innerrhoden Ja gesagt zu dieser Vorlage."
3111,55.2,55.2,44.8,"Oberegg AI","In Oberegg hat die Stimmbevölkerung dem Stromgesetz zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 55,2 Prozent angenommen. Oberegg hat damit gleich wie der Kanton Appenzell Innerrhoden Ja gesagt zu dieser Vorlage."
3112,60,60,40,"Schwende-Rüti AI","Ja zum Stromgesetz in Schwende-Rüti. Die Gemeinde hat die Vorlage mit 60 Prozent der Stimmen angenommen. Schwende-Rüti hat damit gleich wie der Kanton Appenzell Innerrhoden Ja gesagt zu dieser Vorlage."
3201,68.8,68.8,31.2,"Häggenschwil SG","Ja zum Stromgesetz in Häggenschwil. Die Gemeinde hat die Vorlage mit 68,8 Prozent der Stimmen angenommen. Häggenschwil hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3202,59.7,59.7,40.3,"Muolen SG","Die Gemeinde Muolen hat das Stromgesetz mit 59,7 Prozent Ja-Stimmen angenommen. Muolen hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3203,76.3,76.3,23.7,"St. Gallen SG","Ja zum Stromgesetz in St. Gallen: Mit 76,3 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen. St. Gallen hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3204,68.3,68.3,31.7,"Wittenbach SG","Ja zum Stromgesetz in Wittenbach. Die Gemeinde hat die Vorlage mit 68,3 Prozent der Stimmen angenommen. Wittenbach hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3211,66,66,34,"Berg SG","Die Gemeinde Berg SG hat das Stromgesetz mit 66 Prozent Ja-Stimmen angenommen. Berg SG hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3212,64.4,64.4,35.6,"Eggersriet SG","64,4 Prozent der Stimmbürgerinnen und Stimmbürger von Eggersriet haben das Stromgesetz angenommen. Eggersriet hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3213,69.3,69.3,30.7,"Goldach SG","69,3 Prozent der Abstimmenden in der Gemeinde Goldach haben Ja gesagt zum Stromgesetz. Goldach hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3214,70.3,70.3,29.7,"Mörschwil SG","Ja zum Stromgesetz in Mörschwil: Mit 70,3 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen. Mörschwil hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3215,71.2,71.2,28.8,"Rorschach SG","71,2 Prozent der Abstimmenden in der Gemeinde Rorschach haben Ja gesagt zum Stromgesetz. Rorschach hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3216,66,66,34,"Rorschacherberg SG","66 Prozent der Stimmbürgerinnen und Stimmbürger von Rorschacherberg haben das Stromgesetz angenommen. Rorschacherberg hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3217,69.6,69.6,30.4,"Steinach SG","Ja zum Stromgesetz in Steinach. Die Gemeinde hat die Vorlage mit 69,6 Prozent der Stimmen angenommen. Steinach hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3218,72.9,72.9,27.1,"Tübach SG","Ja zum Stromgesetz in Tübach. Die Gemeinde hat die Vorlage mit 72,9 Prozent der Stimmen angenommen. Tübach hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3219,68.7,68.7,31.3,"Untereggen SG","68,7 Prozent der Stimmbürgerinnen und Stimmbürger von Untereggen haben das Stromgesetz angenommen. Untereggen hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3231,61.6,61.6,38.4,"Au SG","In Au SG hat die Stimmbevölkerung dem Stromgesetz zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 61,6 Prozent angenommen. Au SG hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3232,64.3,64.3,35.7,"Balgach SG","64,3 Prozent der Abstimmenden in der Gemeinde Balgach haben Ja gesagt zum Stromgesetz. Balgach hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3233,62.9,62.9,37.1,"Berneck SG","Die Gemeinde Berneck hat das Stromgesetz mit 62,9 Prozent angenommen. Berneck hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3234,64,64,36,"Diepoldsau SG","Die Gemeinde Diepoldsau hat das Stromgesetz mit 64 Prozent Ja-Stimmen angenommen. Diepoldsau hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3235,54.7,54.7,45.3,"Rheineck SG","54,7 Prozent der Abstimmenden in der Gemeinde Rheineck haben Ja gesagt zum Stromgesetz. Rheineck hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
