"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1630,32.6,32.6,67.4,"Glarus Nord GL","Keine Mehrheit für die Kostenbremse-Initiative in Glarus Nord: Mit 3'441 Nein-Stimmen zu 1'667 Ja-Stimmen oder 67,4 Prozent hat die Gemeinde das Volksbegehren verworfen. Glarus Nord hat damit gleich wie der Kanton Glarus Nein gesagt zu dieser Vorlage."
1631,31.6,31.6,68.4,"Glarus Süd GL","Nein zur Kostenbremse-Initiative in Glarus Süd mit 68,4 Prozent Ablehnung. Glarus Süd hat damit gleich wie der Kanton Glarus Nein gesagt zu dieser Vorlage."
1632,29.6,29.6,70.4,"Glarus GL","Glarus hat die Kostenbremse-Initiative mit 70,4 Prozent abgelehnt. Glarus hat damit gleich wie der Kanton Glarus Nein gesagt zu dieser Vorlage."
2901,50,0,0,"Gächlingen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2903,50,0,0,"Löhningen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2904,50,0,0,"Neunkirch SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2914,50,0,0,"Büttenhardt SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2915,50,0,0,"Dörflingen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2917,50,0,0,"Lohn SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2919,50,0,0,"Stetten SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2920,50,0,0,"Thayngen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2931,50,0,0,"Bargen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2932,50,0,0,"Beringen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2933,50,0,0,"Buchberg SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2936,50,0,0,"Merishausen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2937,50,0,0,"Neuhausen am Rheinfall SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2938,50,0,0,"Rüdlingen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2939,50,0,0,"Schaffhausen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2951,50,0,0,"Beggingen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2952,50,0,0,"Schleitheim SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2953,50,0,0,"Siblingen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2961,50,0,0,"Buch SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
