"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
301,24.4,24.4,75.6,"Aarberg BE","In Aarberg hat die Stimmbevölkerung die ""Stopp-Impfpflicht""-Initiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 75,6 Prozent verworfen."
302,25.4,25.4,74.6,"Bargen BE","Nein zur ""Stopp-Impfpflicht""-Initiative in Bargen BE: Mit 74,6 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt."
303,23.7,23.7,76.3,"Grossaffoltern BE","Nein zur ""Stopp-Impfpflicht""-Initiative in Grossaffoltern mit 76,3 Prozent Ablehnung."
304,28.8,28.8,71.2,"Kallnach BE","Keine Mehrheit für die ""Stopp-Impfpflicht""-Initiative in Kallnach: Mit 468 Nein-Stimmen zu 189 Ja-Stimmen oder 71,2 Prozent hat die Gemeinde das Volksbegehren verworfen."
305,31.2,31.2,68.8,"Kappelen BE","Nein zur ""Stopp-Impfpflicht""-Initiative in Kappelen: Mit 68,8 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt."
306,25.2,25.2,74.8,"Lyss BE","In Lyss hat die ""Stopp-Impfpflicht""-Initiative keine Mehrheit gefunden. Auf 74,8 Prozent der abgegebenen Stimmzettel stand ein Nein."
307,50,0,0,"Meikirch BE","Die Resultate dieser Gemeinde sind noch nicht bekannt."
309,27.5,27.5,72.5,"Radelfingen BE","In Radelfingen hat die Stimmbevölkerung die ""Stopp-Impfpflicht""-Initiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 72,5 Prozent verworfen."
310,29.7,29.7,70.3,"Rapperswil BE","In Rapperswil BE hat die ""Stopp-Impfpflicht""-Initiative keine Mehrheit gefunden. Auf 70,3 Prozent der abgegebenen Stimmzettel stand ein Nein."
311,24.5,24.5,75.5,"Schüpfen BE","Nein zur ""Stopp-Impfpflicht""-Initiative in Schüpfen mit 75,5 Prozent Ablehnung."
312,27.8,27.8,72.2,"Seedorf BE","72,2 Prozent der Stimmbürgerinnen und Stimmbürger von Seedorf BE sagen Nein zur ""Stopp-Impfpflicht""-Initiative."
321,25,25,75,"Aarwangen BE","Aarwangen hat die ""Stopp-Impfpflicht""-Initiative mit 75 Prozent abgelehnt."
322,43.4,43.4,56.6,"Auswil BE","Keine Mehrheit für die ""Stopp-Impfpflicht""-Initiative in Auswil: Mit 90 Nein-Stimmen zu 69 Ja-Stimmen oder 56,6 Prozent hat die Gemeinde das Volksbegehren verworfen."
323,37.1,37.1,62.9,"Bannwil BE","In Bannwil hat die Stimmbevölkerung die ""Stopp-Impfpflicht""-Initiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 62,9 Prozent verworfen."
324,23.6,23.6,76.4,"Bleienbach BE","76,4 Prozent der Stimmbürgerinnen und Stimmbürger von Bleienbach sagen Nein zur ""Stopp-Impfpflicht""-Initiative."
325,34.2,34.2,65.8,"Busswil bei Melchnau BE","Busswil bei Melchnau hat die ""Stopp-Impfpflicht""-Initiative mit 52 Nein- zu 27 Ja-Stimmen verworfen."
326,34,34,66,"Gondiswil BE","Keine Mehrheit für die ""Stopp-Impfpflicht""-Initiative in Gondiswil: Mit 138 Nein-Stimmen zu 71 Ja-Stimmen oder 66 Prozent hat die Gemeinde das Volksbegehren verworfen."
329,22.3,22.3,77.7,"Langenthal BE","Nein zur ""Stopp-Impfpflicht""-Initiative in Langenthal: Mit 77,7 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt."
331,28,28,72,"Lotzwil BE","72 Prozent der Stimmbürgerinnen und Stimmbürger von Lotzwil sagen Nein zur ""Stopp-Impfpflicht""-Initiative."
332,32.2,32.2,67.8,"Madiswil BE","Nein zur ""Stopp-Impfpflicht""-Initiative in Madiswil mit 67,8 Prozent Ablehnung."
