"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1630,38.8,38.8,61.2,"Glarus Nord GL","Keine Mehrheit für die ""Stopp-Impfpflicht""-Initiative in Glarus Nord: Mit 9'496 Nein-Stimmen zu 6'027 Ja-Stimmen oder 61,2 Prozent hat die Gemeinde das Volksbegehren verworfen."
1631,18.4,18.4,81.6,"Glarus Süd GL","Nein zur ""Stopp-Impfpflicht""-Initiative in Glarus Süd mit 81,6 Prozent Ablehnung. Glarus Süd hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Glarus."
1632,32.6,32.6,67.4,"Glarus GL","Glarus hat die ""Stopp-Impfpflicht""-Initiative mit 67,4 Prozent abgelehnt. Glarus hat damit gleich wie der Kanton Glarus Nein gesagt zu dieser Vorlage."
2901,44.7,44.7,55.3,"Gächlingen SH","55,3 Prozent der Stimmbürgerinnen und Stimmbürger von Gächlingen sagen Nein zur ""Stopp-Impfpflicht""-Initiative. Gächlingen hat damit gleich wie der Kanton Schaffhausen Nein gesagt zu dieser Vorlage."
2903,2.3,2.3,97.7,"Löhningen SH","Löhningen hat die ""Stopp-Impfpflicht""-Initiative mit 97,7 Prozent abgelehnt. Löhningen hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Schaffhausen."
2904,51.9,51.9,48.1,"Neunkirch SH","Die Gemeinde Neunkirch hat die ""Stopp-Impfpflicht""-Initiative mit 51,9 Prozent Ja-Stimmen angenommen. Neunkirch hat damit anders abgestimmt als der Kanton Schaffhausen, der die Vorlage abgelehnt hat."
2914,6.5,6.5,93.5,"Büttenhardt SH","In Büttenhardt hat die ""Stopp-Impfpflicht""-Initiative keine Mehrheit gefunden. Auf 93,5 Prozent der abgegebenen Stimmzettel stand ein Nein. Büttenhardt hat damit gleich wie der Kanton Schaffhausen Nein gesagt zu dieser Vorlage."
2915,12.4,12.4,87.6,"Dörflingen SH","Dörflingen hat die ""Stopp-Impfpflicht""-Initiative mit 87,6 Prozent abgelehnt. Dörflingen hat damit gleich wie der Kanton Schaffhausen Nein gesagt zu dieser Vorlage."
2917,49.1,49.1,50.9,"Lohn SH","50,9 Prozent der Stimmbürgerinnen und Stimmbürger von Lohn SH sagen Nein zur ""Stopp-Impfpflicht""-Initiative. Lohn SH hat damit gleich wie der Kanton Schaffhausen Nein gesagt zu dieser Vorlage."
2919,16.7,16.7,83.3,"Stetten SH","Keine Mehrheit für die ""Stopp-Impfpflicht""-Initiative in Stetten SH: Mit 5'215 Nein-Stimmen zu 1'042 Ja-Stimmen oder 83,3 Prozent hat die Gemeinde das Volksbegehren verworfen. Stetten SH hat damit gleich wie der Kanton Schaffhausen Nein gesagt zu dieser Vorlage."
