"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
111,84.9,84.9,15.1,"Bäretswil ZH","Ja zur ""Stopp-Impfpflicht""-Initiative in Bäretswil. Die Gemeinde hat das Volksbegehren mit 84,9 Prozent der Stimmen angenommen. Bäretswil hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat."
112,27.7,27.7,72.3,"Bubikon ZH","Bubikon hat die ""Stopp-Impfpflicht""-Initiative mit 72,3 Prozent abgelehnt. Bubikon hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage."
113,70.1,70.1,29.9,"Dürnten ZH","70,1 Prozent der Abstimmenden in der Gemeinde Dürnten haben Ja gesagt zur ""Stopp-Impfpflicht""-Initiative. Dürnten hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat."
114,62,62,38,"Fischenthal ZH","Ja zur ""Stopp-Impfpflicht""-Initiative in Fischenthal: Mit 62 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Fischenthal hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat."
115,96.2,96.2,3.8,"Gossau ZH","96,2 Prozent der Stimmbürgerinnen und Stimmbürger von Gossau ZH haben die ""Stopp-Impfpflicht""-Initiative angenommen. Gossau ZH hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat."
116,23.5,23.5,76.5,"Grüningen ZH","Nein zur ""Stopp-Impfpflicht""-Initiative in Grüningen: Mit 76,5 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Grüningen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage."
117,0.6,0.6,99.4,"Hinwil ZH","Nein zur ""Stopp-Impfpflicht""-Initiative in Hinwil mit 99,4 Prozent Ablehnung. Hinwil hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage."
118,93.2,93.2,6.8,"Rüti ZH","In Rüti ZH hat die Stimmbevölkerung der ""Stopp-Impfpflicht""-Initiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 93,2 Prozent angenommen. Rüti ZH hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat."
119,32.6,32.6,67.4,"Seegräben ZH","Nein zur ""Stopp-Impfpflicht""-Initiative in Seegräben: Mit 67,4 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Seegräben hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage."
120,55.9,55.9,44.1,"Wald ZH","55,9 Prozent der Abstimmenden in der Gemeinde Wald ZH haben Ja gesagt zur ""Stopp-Impfpflicht""-Initiative. Wald ZH hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat."
121,69.3,69.3,30.7,"Wetzikon ZH","In Wetzikon ZH hat die Stimmbevölkerung der ""Stopp-Impfpflicht""-Initiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 69,3 Prozent angenommen. Wetzikon ZH hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat."
172,65.6,65.6,34.4,"Fehraltorf ZH","65,6 Prozent der Abstimmenden in der Gemeinde Fehraltorf haben Ja gesagt zur ""Stopp-Impfpflicht""-Initiative. Fehraltorf hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat."
173,28,28,72,"Hittnau ZH","Nein zur ""Stopp-Impfpflicht""-Initiative in Hittnau mit 72 Prozent Ablehnung. Hittnau hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage."
176,14.4,14.4,85.6,"Lindau ZH","85,6 Prozent der Stimmbürgerinnen und Stimmbürger von Lindau sagen Nein zur ""Stopp-Impfpflicht""-Initiative. Lindau hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage."
177,52,52,48,"Pfäffikon ZH","52 Prozent der Abstimmenden in der Gemeinde Pfäffikon haben Ja gesagt zur ""Stopp-Impfpflicht""-Initiative. Pfäffikon hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat."
178,88.5,88.5,11.5,"Russikon ZH","Ja zur ""Stopp-Impfpflicht""-Initiative in Russikon: Mit 88,5 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Russikon hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat."
180,44.8,44.8,55.2,"Weisslingen ZH","Keine Mehrheit für die ""Stopp-Impfpflicht""-Initiative in Weisslingen: Mit 7'877 Nein-Stimmen zu 6'399 Ja-Stimmen oder 55,2 Prozent hat die Gemeinde das Volksbegehren verworfen. Weisslingen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage."
181,51.4,51.4,48.6,"Wila ZH","51,4 Prozent der Abstimmenden in der Gemeinde Wila haben Ja gesagt zur ""Stopp-Impfpflicht""-Initiative. Wila hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat."
182,53.7,53.7,46.3,"Wildberg ZH","Ja zur ""Stopp-Impfpflicht""-Initiative in Wildberg: Mit 53,7 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Wildberg hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat."
191,32.7,32.7,67.3,"Dübendorf ZH","67,3 Prozent der Stimmbürgerinnen und Stimmbürger von Dübendorf sagen Nein zur ""Stopp-Impfpflicht""-Initiative. Dübendorf hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage."
192,60.9,60.9,39.1,"Egg ZH","Die Gemeinde Egg hat die ""Stopp-Impfpflicht""-Initiative mit 60,9 Prozent angenommen. Egg hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat."
193,50.6,50.6,49.4,"Fällanden ZH","In Fällanden hat die Stimmbevölkerung der ""Stopp-Impfpflicht""-Initiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 50,6 Prozent angenommen. Fällanden hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat."
194,50.8,50.8,49.2,"Greifensee ZH","Die Gemeinde Greifensee hat die ""Stopp-Impfpflicht""-Initiative mit 50,8 Prozent angenommen. Greifensee hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat."
195,59.8,59.8,40.2,"Maur ZH","Ja zur ""Stopp-Impfpflicht""-Initiative in Maur: Mit 59,8 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Maur hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat."
