"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
1,31.1,31.1,68.9,"Aeugst am Albis (ZH)","Les habitants d'Aeugst am Albis rejettent l'initiative du Centre ""pour un frein aux coûts"" avec 68,9 pour cent de non."
2,31.3,31.3,68.7,"Affoltern am Albis (ZH)","C'est non à 68,7 pour cent à l'initiative du Centre ""pour un frein aux coûts"" à Affoltern am Albis."
3,31.3,31.3,68.7,"Bonstetten (ZH)","C'est non à 68,7 pour cent à l'initiative du Centre ""pour un frein aux coûts"" à Bonstetten."
4,32.5,32.5,67.5,"Hausen am Albis (ZH)","A Hausen am Albis, les habitants disent non à 67,5 pour cent à l'initiative du Centre pour un ""frein aux coûts""."
5,29.9,29.9,70.1,"Hedingen (ZH)","Les habitants de Hedingen s'opposent à l'initiative du Centre ""pour un frein aux coûts"" avec 70,1 pour cent de non."
6,28.6,28.6,71.4,"Kappel am Albis (ZH)","C'est non à 71,4 pour cent à l'initiative du Centre ""pour un frein aux coûts"" à Kappel am Albis."
7,34.1,34.1,65.9,"Knonau (ZH)","Les habitants de Knonau s'opposent à l'initiative du Centre ""pour un frein aux coûts"" avec 65,9 pour cent de non."
8,37.9,37.9,62.1,"Maschwanden (ZH)","A Maschwanden, les habitants sont défavorables à l'initiative du Centre ""pour un frein aux coûts"" avec 62,1 pour cent des voix."
9,31.4,31.4,68.6,"Mettmenstetten (ZH)","A Mettmenstetten, les habitants disent non à 68,6 pour cent à l'initiative du Centre pour un ""frein aux coûts""."
10,33.7,33.7,66.3,"Obfelden (ZH)","A Obfelden, les habitants disent non à 66,3 pour cent à l'initiative du Centre pour un ""frein aux coûts""."
11,32.3,32.3,67.7,"Ottenbach (ZH)","Les habitants d'Ottenbach s'opposent à l'initiative du Centre ""pour un frein aux coûts"" avec 67,7 pour cent de non."
12,28.4,28.4,71.6,"Rifferswil (ZH)","Les habitants de Rifferswil s'opposent à l'initiative du Centre ""pour un frein aux coûts"" avec 71,6 pour cent de non."
13,31.7,31.7,68.3,"Stallikon (ZH)","A Stallikon, les habitants disent non à 68,3 pour cent à l'initiative du Centre pour un ""frein aux coûts""."
14,26.5,26.5,73.5,"Wettswil am Albis (ZH)","Les habitants de Wettswil am Albis rejettent l'initiative du Centre ""pour un frein aux coûts"" avec 73,5 pour cent de non."
22,22.4,22.4,77.6,"Benken (ZH)","L'initiative du Centre ""pour un frein aux coûts"" ne passe pas la rampe à Benken (ZH) avec 77,6 pour cent de non."
23,23.5,23.5,76.5,"Berg am Irchel (ZH)","C'est non à 76,5 pour cent à l'initiative du Centre ""pour un frein aux coûts"" à Berg am Irchel."
