"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
1,82,82,18,"Aeugst am Albis ZH","I cittadini di Aeugst am Albis hanno accolto l'iniziativa per un freno ai costi del Centro con il 82 per cento di voti a favore. Aeugst am Albis ha accolto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
2,47.1,47.1,52.9,"Affoltern am Albis ZH","Il 52,9 per cento degli elettori di Affoltern am Albis ha respinto l'iniziativa per un freno ai costi del Centro. Affoltern am Albis ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
3,51.9,51.9,48.1,"Bonstetten ZH","Il 51,9 per cento degli elettori di Bonstetten ha accolto l'iniziativa per un freno ai costi del Centro. Bonstetten ha accolto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
4,99,99,1,"Hausen am Albis ZH","Nel comune di Hausen am Albis, i cittadini hanno accolto l'iniziativa per un freno ai costi del Centro con il 99 per cento di voti favorevoli. Il maggior numero di ""sì"" nel canton Zurigo è stato ottenuto a Hausen am Albis."
5,51.6,51.6,48.4,"Hedingen ZH","Gli abitanti di Hedingen hanno accolto l'iniziativa per un freno ai costi del Centro con il 51,6 per cento di ""sì"". Hedingen ha accolto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
6,62.4,62.4,37.6,"Kappel am Albis ZH","Il 62,4 per cento degli elettori di Kappel am Albis ha accolto l'iniziativa per un freno ai costi del Centro. Kappel am Albis ha accolto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
7,69.7,69.7,30.3,"Knonau ZH","Gli abitanti di Knonau hanno accolto l'iniziativa per un freno ai costi del Centro con il 69,7 per cento di ""sì"". Knonau ha accolto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
8,50.2,50.2,49.8,"Maschwanden ZH","A Maschwanden gli abitanti hanno accolto l'iniziativa per un freno ai costi del Centro con il 50,2 per cento di ""sì"". Maschwanden ha accolto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
9,30.9,30.9,69.1,"Mettmenstetten ZH","Nel comune di Mettmenstetten, i cittadini hanno respinto l'iniziativa per un freno ai costi del Centro con il 69,1 per cento di voti contrari. Mettmenstetten ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
10,47.9,47.9,52.1,"Obfelden ZH","Nel comune di Obfelden, i cittadini hanno respinto l'iniziativa per un freno ai costi del Centro con il 52,1 per cento di voti contrari. Obfelden ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
11,60.8,60.8,39.2,"Ottenbach ZH","Gli abitanti di Ottenbach hanno accolto l'iniziativa per un freno ai costi del Centro con il 60,8 per cento di ""sì"". Ottenbach ha accolto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
12,84.6,84.6,15.4,"Rifferswil ZH","Gli abitanti di Rifferswil hanno accolto l'iniziativa per un freno ai costi del Centro con il 84,6 per cento di ""sì"". Rifferswil ha accolto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
13,68.7,68.7,31.3,"Stallikon ZH","Nel comune di Stallikon, i cittadini hanno accolto l'iniziativa per un freno ai costi del Centro con il 68,7 per cento di voti favorevoli. Stallikon ha accolto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
14,64.7,64.7,35.3,"Wettswil am Albis ZH","I cittadini di Wettswil am Albis hanno accolto l'iniziativa per un freno ai costi del Centro con il 64,7 per cento di voti a favore. Wettswil am Albis ha accolto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
22,47.2,47.2,52.8,"Benken ZH","L'iniziativa per un freno ai costi del Centro è stata respinta a Benken ZH, dove ha riscosso il 52,8 per cento di ""no"". Benken ZH ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
23,47.9,47.9,52.1,"Berg am Irchel ZH","Il 52,1 per cento degli elettori di Berg am Irchel ha respinto l'iniziativa per un freno ai costi del Centro. Berg am Irchel ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
24,63.7,63.7,36.3,"Buch am Irchel ZH","Gli elettori di Buch am Irchel si sono mostrati favorevoli all'iniziativa per un freno ai costi del Centro, che ha ricevuto il 63,7 per cento di ""sì"". Buch am Irchel ha accolto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
25,62,62,38,"Dachsen ZH","Gli elettori di Dachsen si sono mostrati favorevoli all'iniziativa per un freno ai costi del Centro, che ha ricevuto il 62 per cento di ""sì"". Dachsen ha accolto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
26,64.5,64.5,35.5,"Dorf ZH","A Dorf gli abitanti hanno accolto l'iniziativa per un freno ai costi del Centro con il 64,5 per cento di ""sì"". Dorf ha accolto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
