"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1,3.3,3.3,96.7,"Aeugst am Albis ZH","In Aeugst am Albis hat die Prämienentlastungsinitiative keine Mehrheit gefunden. Auf 96,7 Prozent der abgegebenen Stimmzettel stand ein Nein. Aeugst am Albis hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage."
2,89.8,89.8,10.2,"Affoltern am Albis ZH","89,8 Prozent der Abstimmenden in der Gemeinde Affoltern am Albis haben Ja gesagt zur Prämienentlastungsinitiative. Affoltern am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat."
3,37.4,37.4,62.6,"Bonstetten ZH","Keine Mehrheit für die Prämienentlastungsinitiative in Bonstetten: Mit 5'166 Nein-Stimmen zu 3'083 Ja-Stimmen oder 62,6 Prozent hat die Gemeinde das Volksbegehren verworfen. Bonstetten hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage."
4,97.1,97.1,2.9,"Hausen am Albis ZH","Die Stimmbevölkerung von Hausen am Albis hat die Prämienentlastungsinitiative mit 97,1 Prozent angenommen. Hausen am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat."
5,88.4,88.4,11.6,"Hedingen ZH","Ja zur Prämienentlastungsinitiative in Hedingen: Mit 88,4 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Hedingen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat."
6,32.9,32.9,67.1,"Kappel am Albis ZH","Keine Mehrheit für die Prämienentlastungsinitiative in Kappel am Albis: Mit 4'108 Nein-Stimmen zu 2'013 Ja-Stimmen oder 67,1 Prozent hat die Gemeinde das Volksbegehren verworfen. Kappel am Albis hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage."
7,58.6,58.6,41.4,"Knonau ZH","Ja zur Prämienentlastungsinitiative in Knonau: Mit 58,6 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Knonau hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat."
8,47.9,47.9,52.1,"Maschwanden ZH","In Maschwanden hat die Stimmbevölkerung die Prämienentlastungsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 52,1 Prozent verworfen. Maschwanden hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage."
9,80.6,80.6,19.4,"Mettmenstetten ZH","Die Stimmbevölkerung von Mettmenstetten hat die Prämienentlastungsinitiative mit 80,6 Prozent angenommen. Mettmenstetten hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat."
10,50.2,50.2,49.8,"Obfelden ZH","Die Stimmbevölkerung von Obfelden hat die Prämienentlastungsinitiative mit 50,2 Prozent angenommen. Obfelden hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat."
11,51,51,49,"Ottenbach ZH","Ja zur Prämienentlastungsinitiative in Ottenbach: Mit 51 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Ottenbach hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat."
