"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
1,88.1,88.1,11.9,"Aeugst am Albis (ZH)","Les habitants d'Aeugst am Albis acceptent l'initiative pour interdire la ""vaccination obligatoire"" avec 88,1 pour cent de oui. Aeugst am Albis a approuvé l'initiative, contrairement à son canton."
2,29.7,29.7,70.3,"Affoltern am Albis (ZH)","C'est non à 70,3 pour cent à l'initiative pour interdire la ""vaccination obligatoire"" à Affoltern am Albis. Affoltern am Albis a rejeté l'initiative, tout comme son canton."
3,45.1,45.1,54.9,"Bonstetten (ZH)","C'est non à 54,9 pour cent à l'initiative pour interdire la ""vaccination obligatoire"" à Bonstetten. Bonstetten a rejeté l'initiative, tout comme son canton."
4,48.4,48.4,51.6,"Hausen am Albis (ZH)","A Hausen am Albis, les habitants disent non à 51,6 pour cent à l'initiative pour interdire ""la vaccination obligatoire"". Hausen am Albis a rejeté l'initiative, tout comme son canton."
5,36.6,36.6,63.4,"Hedingen (ZH)","Les habitants de Hedingen s'opposent à l'initiative pour interdire la ""vaccination obligatoire"" avec 63,4 pour cent de non. Hedingen a rejeté l'initiative, tout comme son canton."
6,56,56,44,"Kappel am Albis (ZH)","C'est oui à 56 pour cent à l'initiative pour interdire la ""vaccination obligatoire"" à Kappel am Albis. Kappel am Albis a approuvé l'initiative, contrairement à son canton."
7,39.3,39.3,60.7,"Knonau (ZH)","Les habitants de Knonau s'opposent à l'initiative pour interdire la ""vaccination obligatoire"" avec 60,7 pour cent de non. Knonau a rejeté l'initiative, tout comme son canton."
8,37.3,37.3,62.7,"Maschwanden (ZH)","A Maschwanden, les habitants sont défavorables à l'initiative pour interdire la ""vaccination obligatoire"" avec 62,7 pour cent des voix. Maschwanden a rejeté l'initiative, tout comme son canton."
9,10.4,10.4,89.6,"Mettmenstetten (ZH)","A Mettmenstetten, les habitants disent non à 89,6 pour cent à l'initiative pour interdire ""la vaccination obligatoire"". Mettmenstetten a rejeté l'initiative, tout comme son canton."
10,6.7,6.7,93.3,"Obfelden (ZH)","A Obfelden, les habitants disent non à 93,3 pour cent à l'initiative pour interdire ""la vaccination obligatoire"". Obfelden a rejeté l'initiative, tout comme son canton."
11,59.4,59.4,40.6,"Ottenbach (ZH)","Les habitants d'Ottenbach approuvent l'initiative pour interdire la ""vaccination obligatoire"" avec 59,4 pour cent des voix. Ottenbach a approuvé l'initiative, contrairement à son canton."
12,97.9,97.9,2.1,"Rifferswil (ZH)","Les habitants de Rifferswil approuvent l'initiative pour interdire la ""vaccination obligatoire"" avec 97,9 pour cent des voix. Rifferswil a approuvé l'initiative, contrairement à son canton."
13,51.5,51.5,48.5,"Stallikon (ZH)","A Stallikon, les habitants disent oui à 51,5 pour cent à l'initiative pour interdire ""la vaccination obligatoire"". Stallikon a approuvé l'initiative, contrairement à son canton."
14,42.4,42.4,57.6,"Wettswil am Albis (ZH)","Les habitants de Wettswil am Albis rejettent l'initiative pour interdire la ""vaccination obligatoire"" avec 57,6 pour cent de non. Wettswil am Albis a rejeté l'initiative, tout comme son canton."
22,48,48,52,"Benken (ZH)","L'initiative pour interdire la ""vaccination obligatoire"" ne passe pas la rampe à Benken (ZH) avec 52 pour cent de non. Benken (ZH) a rejeté l'initiative, tout comme son canton."
23,60.3,60.3,39.7,"Berg am Irchel (ZH)","C'est oui à 60,3 pour cent à l'initiative pour interdire la ""vaccination obligatoire"" à Berg am Irchel. Berg am Irchel a approuvé l'initiative, contrairement à son canton."
24,45.1,45.1,54.9,"Buch am Irchel (ZH)","L'initiative pour interdire la ""vaccination obligatoire"" échoue à Buch am Irchel avec 54,9 pour cent des suffrages. Buch am Irchel a rejeté l'initiative, tout comme son canton."
25,58.4,58.4,41.6,"Dachsen (ZH)","Les électeurs de Dachsen valident l'initiative pour interdire la ""vaccination obligatoire"" avec 58,4 pour cent des voix. Dachsen a approuvé l'initiative, contrairement à son canton."
26,74.9,74.9,25.1,"Dorf (ZH)","A Dorf, les habitants sont favorables à l'initiative pour interdire la ""vaccination obligatoire"" avec 74,9 pour cent des suffrages. Dorf a approuvé l'initiative, contrairement à son canton."
27,54,54,46,"Feuerthalen (ZH)","C'est oui à 54 pour cent à l'initiative pour interdire la ""vaccination obligatoire"" à Feuerthalen. Feuerthalen a approuvé l'initiative, contrairement à son canton."
28,28.9,28.9,71.1,"Flaach (ZH)","Les habitants de Flaach rejettent l'initiative pour interdire la ""vaccination obligatoire"" avec 71,1 pour cent de non. Flaach a rejeté l'initiative, tout comme son canton."
29,69.5,69.5,30.5,"Flurlingen (ZH)","C'est oui à 69,5 pour cent à l'initiative pour interdire la ""vaccination obligatoire"" à Flurlingen. Flurlingen a approuvé l'initiative, contrairement à son canton."
31,84.9,84.9,15.1,"Henggart (ZH)","C'est oui à 84,9 pour cent à l'initiative pour interdire la ""vaccination obligatoire"" à Henggart. Henggart a approuvé l'initiative, contrairement à son canton."
33,24.1,24.1,75.9,"Kleinandelfingen (ZH)","Les habitants de Kleinandelfingen s'opposent à l'initiative pour interdire la ""vaccination obligatoire"" avec 75,9 pour cent de non. Kleinandelfingen a rejeté l'initiative, tout comme son canton."
34,58.8,58.8,41.2,"Laufen-Uhwiesen (ZH)","C'est oui à 58,8 pour cent à l'initiative pour interdire la ""vaccination obligatoire"" à Laufen-Uhwiesen. Laufen-Uhwiesen a approuvé l'initiative, contrairement à son canton."
35,20,20,80,"Marthalen (ZH)","Les habitants de Marthalen s'opposent à l'initiative pour interdire la ""vaccination obligatoire"" avec 80 pour cent de non. Marthalen a rejeté l'initiative, tout comme son canton."
37,52.2,52.2,47.8,"Ossingen (ZH)","L'initiative pour interdire la ""vaccination obligatoire"" passe la rampe à Ossingen avec 52,2 pour cent de oui. Ossingen a approuvé l'initiative, contrairement à son canton."
38,30.4,30.4,69.6,"Rheinau (ZH)","Les habitants de Rheinau rejettent l'initiative pour interdire la ""vaccination obligatoire"" avec 69,6 pour cent de non. Rheinau a rejeté l'initiative, tout comme son canton."
39,8.4,8.4,91.6,"Thalheim an der Thur (ZH)","Les habitants de Thalheim an der Thur rejettent l'initiative pour interdire la ""vaccination obligatoire"" avec 91,6 pour cent de non. Thalheim an der Thur a rejeté l'initiative, tout comme son canton."
40,47.2,47.2,52.8,"Trüllikon (ZH)","L'initiative pour interdire la ""vaccination obligatoire"" échoue à Trüllikon avec 52,8 pour cent des suffrages. Trüllikon a rejeté l'initiative, tout comme son canton."
41,21.6,21.6,78.4,"Truttikon (ZH)","A Truttikon, les habitants disent non à 78,4 pour cent à l'initiative pour interdire ""la vaccination obligatoire"". Truttikon a rejeté l'initiative, tout comme son canton."
43,74.9,74.9,25.1,"Volken (ZH)","A Volken, les habitants sont favorables à l'initiative pour interdire la ""vaccination obligatoire"" avec 74,9 pour cent des suffrages. Volken a approuvé l'initiative, contrairement à son canton."
51,25.8,25.8,74.2,"Bachenbülach (ZH)","L'initiative pour interdire la ""vaccination obligatoire"" échoue à Bachenbülach avec 74,2 pour cent des suffrages. Bachenbülach a rejeté l'initiative, tout comme son canton."
52,5.1,5.1,94.9,"Bassersdorf (ZH)","A Bassersdorf, les habitants disent non à 94,9 pour cent à l'initiative pour interdire ""la vaccination obligatoire"". Bassersdorf a rejeté l'initiative, tout comme son canton."
53,77.4,77.4,22.6,"Bülach (ZH)","L'initiative pour interdire la ""vaccination obligatoire"" passe la rampe à Bülach avec 77,4 pour cent de oui. Bülach a approuvé l'initiative, contrairement à son canton."
54,23.5,23.5,76.5,"Dietlikon (ZH)","L'initiative pour interdire la ""vaccination obligatoire"" échoue à Dietlikon avec 76,5 pour cent des suffrages. Dietlikon a rejeté l'initiative, tout comme son canton."
55,84.6,84.6,15.4,"Eglisau (ZH)","L'initiative pour interdire la ""vaccination obligatoire"" passe la rampe à Eglisau avec 84,6 pour cent de oui. Eglisau a approuvé l'initiative, contrairement à son canton."
56,44.4,44.4,55.6,"Embrach (ZH)","Les habitants d'Embrach rejettent l'initiative pour interdire la ""vaccination obligatoire"" avec 55,6 pour cent de non. Embrach a rejeté l'initiative, tout comme son canton."
57,60.9,60.9,39.1,"Freienstein-Teufen (ZH)","Les habitants de Freienstein-Teufen approuvent l'initiative pour interdire la ""vaccination obligatoire"" avec 60,9 pour cent des voix. Freienstein-Teufen a approuvé l'initiative, contrairement à son canton."
58,41.5,41.5,58.5,"Glattfelden (ZH)","A Glattfelden, les habitants disent non à 58,5 pour cent à l'initiative pour interdire ""la vaccination obligatoire"". Glattfelden a rejeté l'initiative, tout comme son canton."
59,57.1,57.1,42.9,"Hochfelden (ZH)","A Hochfelden, les habitants disent oui à 57,1 pour cent à l'initiative pour interdire ""la vaccination obligatoire"". Hochfelden a approuvé l'initiative, contrairement à son canton."
60,24.6,24.6,75.4,"Höri (ZH)","A Höri, les habitants disent non à 75,4 pour cent à l'initiative pour interdire ""la vaccination obligatoire"". Höri a rejeté l'initiative, tout comme son canton."
61,28.3,28.3,71.7,"Hüntwangen (ZH)","A Hüntwangen, les habitants sont défavorables à l'initiative pour interdire la ""vaccination obligatoire"" avec 71,7 pour cent des voix. Hüntwangen a rejeté l'initiative, tout comme son canton."
62,50.8,50.8,49.2,"Kloten (ZH)","A Kloten, les habitants sont favorables à l'initiative pour interdire la ""vaccination obligatoire"" avec 50,8 pour cent des suffrages. Kloten a approuvé l'initiative, contrairement à son canton."
63,28.3,28.3,71.7,"Lufingen (ZH)","A Lufingen, les habitants disent non à 71,7 pour cent à l'initiative pour interdire ""la vaccination obligatoire"". Lufingen a rejeté l'initiative, tout comme son canton."
64,42.3,42.3,57.7,"Nürensdorf (ZH)","A Nürensdorf, les habitants sont défavorables à l'initiative pour interdire la ""vaccination obligatoire"" avec 57,7 pour cent des voix. Nürensdorf a rejeté l'initiative, tout comme son canton."
65,41.5,41.5,58.5,"Oberembrach (ZH)","L'initiative pour interdire la ""vaccination obligatoire"" ne passe pas la rampe à Oberembrach avec 58,5 pour cent de non. Oberembrach a rejeté l'initiative, tout comme son canton."
66,0.9,0.9,99.1,"Opfikon (ZH)","C'est non à 99,1 pour cent à l'initiative pour interdire la ""vaccination obligatoire"" à Opfikon. Le plus fort pourcentage de non du canton de Zurich a été obtenu à Opfikon."
67,9.9,9.9,90.1,"Rafz (ZH)","L'initiative pour interdire la ""vaccination obligatoire"" échoue à Rafz avec 90,1 pour cent des suffrages. Rafz a rejeté l'initiative, tout comme son canton."
68,51.7,51.7,48.3,"Rorbas (ZH)","A Rorbas, les habitants sont favorables à l'initiative pour interdire la ""vaccination obligatoire"" avec 51,7 pour cent des suffrages. Rorbas a approuvé l'initiative, contrairement à son canton."
